"","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","μ","σ","Δrat.7d","Rating","μ","φ","Δrat. 7d"
"HellRaisers  HellRaisers (HR)","1033,99","1034,82","-1,68","1037,75","-7,79","1030,85","1031,60","-1,52","1034,27","-7,07","957,98","1748,03","316,02","-25,73","1598,61","1756,53","63,17","-2,19"
"VGJ.Storm  VGJ.Storm (VGJ.Storm)","990,43","990,19","+0,47","990,76","-4,50","1005,31","1005,44","-0,26","1006,82","-0,13","1333,44","1780,82","178,95","-47,19","1596,55","1732,17","54,24","-2,53"
"WarriorsGaming.Unity  WarriorsGaming.Unity (WG)","1002,04","1002,09","-0,10","1002,27","-0,47","1030,01","1030,74","-1,48","1033,33","-6,88","1063,82","1824,96","304,46","-26,75","1595,95","1760,54","65,83","-2,07"
"Clutch Gamers  Clutch Gamers","946,85","945,55","+2,62","940,96","+12,19","913,17","911,05","+4,28","903,55","+19,91","771,15","1457,53","274,55","-29,78","1593,77","1752,12","63,34","-2,17"
"TEAM MAX  TEAM MAX","976,19","975,61","+1,17","973,56","+5,46","986,36","986,02","+0,67","984,85","+3,13","1172,59","1712,82","216,09","-38,39","1593,31","1753,11","63,92","-2,14"
"iG.Vitality  iG.Vitality","907,43","905,16","+4,57","918,86","-24,69","854,86","851,30","+7,16","867,00","-26,95","1096,93","1544,16","178,89","-47,21","1588,72","1730,94","56,89","-2,43"
"Happy Feet  Happy Feet","983,62","983,22","+0,81","981,81","+3,75","983,97","983,58","+0,79","982,19","+3,68","824,31","1604,83","312,21","-26,06","1575,89","1738,29","64,96","-2,11"
"Infamous、  Infamous、 (Infamous)","1033,13","1033,94","-1,63","1036,80","-7,60","1050,25","1051,48","-2,48","1055,82","-11,52","811,21","1686,21","350,00","0,00","1557,03","1713,76","62,69","-2,18"
"Newbee.Young  Newbee.Young (Newbee.Y)","1011,23","1011,51","-0,55","1012,48","-2,58","999,31","999,29","+0,03","999,23","+0,16","983,59","1650,92","266,93","-30,68","1548,81","1700,89","60,83","-2,26"
"Alliance  Alliance (Alliance)","949,54","948,30","+2,49","979,32","-40,14","931,10","929,41","+3,40","969,25","-50,48","1377,66","1701,73","129,63","-69,08","1548,48","1701,86","61,35","-2,26"
"Infamous  Infamous (Infamous)","1018,03","1025,91","-9,57","1065,20","-96,65","1044,28","1055,69","-14,24","1098,58","-126,06","1525,21","1690,94","66,29","-0,93","1541,45","1658,46","46,80","-3,84"
"PENTA Sports  PENTA Sports","994,87","984,14","+34,72","974,08","+36,32","1001,10","972,33","+94,55","976,75","+56,75","1500,70","1755,33","101,85","-97,03","1530,01","1645,86","46,34","-2,96"
"KG.LUMINOUS  KG.LUMINOUS (EHOME.L)","958,59","957,57","+2,04","976,96","-36,06","933,45","931,81","+3,28","960,29","-51,98","1246,49","1666,06","167,83","-50,73","1523,11","1673,91","60,32","-2,29"
"mousesports  mousesports (mouz)","998,20","998,16","+0,09","998,00","+0,41","1034,69","1035,54","-1,71","1038,54","-7,95","883,26","1667,28","313,61","-25,94","1522,37","1675,50","61,25","-2,30"
"Team VDuoBao  Team VDuoBao (DuoBao)","1020,16","1020,66","-0,99","1022,40","-4,62","1022,80","1023,36","-1,13","1025,33","-5,23","900,40","1727,34","330,78","-24,55","1514,12","1682,46","67,34","-2,03"
"Team Braveheart  Team Braveheart (Bheart)","1007,42","1007,60","-0,37","1008,24","-1,70","1004,87","1004,99","-0,24","1005,41","-1,12","872,82","1696,42","329,44","-24,65","1507,11","1668,10","64,39","-2,13"
"Sacred  Sacred (DC)","980,38","979,90","+0,97","978,20","+4,50","946,43","945,12","+2,64","940,49","+12,28","986,73","1596,60","243,95","-33,73","1501,23","1648,51","58,91","-2,32"
"M19  M19","942,41","941,00","+2,84","936,03","+13,20","913,74","911,62","+4,26","904,18","+19,78","912,49","1510,24","239,10","-34,45","1498,55","1672,28","69,49","-1,97"
"Team Waooo  Team Waooo","998,46","998,42","+0,08","998,29","+0,35","972,63","971,96","+1,35","969,60","+6,28","1085,29","1615,27","211,99","-39,19","1489,51","1649,47","63,98","-2,13"
"Rock Gaming  Rock Gaming","999,89","999,89","+0,01","999,88","+0,03","994,43","994,29","+0,28","993,81","+1,28","928,90","1590,93","264,81","-30,93","1468,12","1629,67","64,62","-2,12"
"Gambit Esports  Gambit Esports","934,17","932,56","+3,25","935,02","-0,68","929,92","928,20","+3,46","919,96","+17,78","1247,15","1654,04","162,76","-52,55","1459,68","1609,81","60,05","-2,28"
"Midas Club   Midas Club","918,74","916,75","+4,01","963,23","-65,22","849,62","845,93","+7,42","924,69","-104,78","1004,01","1370,98","146,79","-59,29","1368,72","1523,19","61,79","-2,22"
"MAD KINGS  MAD KINGS","975,92","983,73","-45,90","977,83","+6,41","984,97","1001,85","-99,39","993,18","+1,12","1290,36","1602,74","124,95","-72,42","1342,72","1515,20","68,99","-1,98"
"We.are.young  We.are.young (Way)","935,70","934,13","+3,17","928,57","+14,74","906,23","903,93","+4,63","895,84","+21,50","554,05","1408,63","341,83","-23,73","1323,07","1493,13","68,02","-2,02"
"CAVALRY  CAVALRY","937,21","935,67","+3,10","930,25","+14,40","914,71","912,62","+4,21","905,25","+19,56","580,28","1329,72","299,78","-27,18","1318,80","1486,86","67,22","-2,03"
"TSHOW RISING  TSHOW RISING (TSr)","969,48","969,02","+13,36","937,09","+49,23","1001,60","1002,82","+26,47","929,19","+105,48","1260,91","1607,76","138,74","-63,47","1300,04","1467,20","66,86","-2,04"
